timestamp_unix,elapsed_s,controller_id,kd_applied,tau_max_nm,watchdog_s,position_rev,velocity_rps,velocity_rpm,measured_torque_nm
1775350483.311803,1.093399,1,1.160000,0.600000,0.100000,-0.471359253,-0.007191122,-0.431467295,0.001411236
1775350483.320205,1.101802,1,1.160000,0.600000,0.100000,-0.471420288,-0.018966809,-1.138008535,0.002266787
1775350483.328106,1.109702,1,1.160000,0.600000,0.100000,-0.471328735,-0.003993667,-0.239620004,-0.001086311
1775350483.334743,1.116340,1,1.160000,0.600000,0.100000,-0.471359253,0.002076805,0.124608292,0.002494150
1775350483.341122,1.122719,1,1.160000,0.600000,0.100000,-0.471359253,0.006308785,0.378527110,0.000000000
1775350483.347574,1.129171,1,1.160000,0.600000,0.100000,-0.471313477,0.012617990,0.757079422,-0.000000000
1775350483.354010,1.135607,1,1.160000,0.600000,0.100000,-0.471405029,-0.011449625,-0.686977487,-0.000112322
1775350483.360318,1.141914,1,1.160000,0.600000,0.100000,-0.471267700,0.011082525,0.664951522,0.000103799
1775350483.366673,1.148269,1,1.160000,0.600000,0.100000,-0.471481323,-0.021560261,-1.293615662,0.000116890
1775350483.373083,1.154679,1,1.160000,0.600000,0.100000,-0.471359253,0.013521933,0.811315980,-0.000109493
1775350483.379363,1.160959,1,1.160000,0.600000,0.100000,-0.471252441,0.013230141,0.793808475,-0.000000000
1775350483.392982,1.174579,1,1.160000,0.600000,0.100000,-0.471298218,-0.006273917,-0.376435043,0.000000000
1775350483.403140,1.184736,1,1.160000,0.600000,0.100000,-0.471343994,-0.013173845,-0.790430680,-0.000436652
1775350483.411203,1.192799,1,1.160000,0.600000,0.100000,-0.471359253,-0.009955994,-0.597359631,0.001301672
1775350483.417981,1.199578,1,1.160000,0.600000,0.100000,-0.471374512,0.004514161,0.270849690,0.001080815
1775350483.433293,1.214889,1,1.160000,0.600000,0.100000,-0.471282959,0.017366212,1.041972712,0.001090113
1775350483.442646,1.224242,1,1.160000,0.600000,0.100000,-0.471282959,0.008578835,0.514730103,-0.001195225
1775350483.453642,1.235239,1,1.160000,0.600000,0.100000,-0.471267700,-0.003553932,-0.213235896,-0.001299205
1775350483.465506,1.247103,1,1.160000,0.600000,0.100000,-0.471130371,0.011201899,0.672113914,0.000000000
1775350483.471949,1.253545,1,1.160000,0.600000,0.100000,-0.471145630,-0.004349711,-0.260982681,-0.000095737
1775350483.478365,1.259962,1,1.160000,0.600000,0.100000,-0.471084595,0.015758332,0.945499912,-0.001294098
1775350483.484708,1.266305,1,1.160000,0.600000,0.100000,-0.471008301,0.013501552,0.810093116,0.000351080
1775350483.491027,1.272623,1,1.160000,0.600000,0.100000,-0.471176147,-0.016240677,-0.974440612,-0.000000000
1775350483.497540,1.279136,1,1.160000,0.600000,0.100000,-0.471191406,-0.003771220,-0.226273206,-0.005188026
1775350483.504260,1.285856,1,1.160000,0.600000,0.100000,-0.471176147,-0.000123838,-0.007430256,-0.001198832
1775350483.511021,1.292617,1,1.160000,0.600000,0.100000,-0.471313477,-0.016079467,-0.964768007,0.001300737
1775350483.517673,1.299269,1,1.160000,0.600000,0.100000,-0.471206665,0.014336119,0.860167164,-0.001297522
1775350483.535788,1.317384,1,1.160000,0.600000,0.100000,-0.471282959,0.001816670,0.109000225,-0.001194827
1775350483.547289,1.328886,1,1.160000,0.600000,0.100000,-0.471267700,-0.000662530,-0.039751829,-0.000103832
1775350483.555666,1.337262,1,1.160000,0.600000,0.100000,-0.471221924,0.009310377,0.558622610,0.002596136
1775350483.566439,1.348035,1,1.160000,0.600000,0.100000,-0.471252441,-0.002063326,-0.123799578,0.003896801
